,1329 iシェアーズ・コア 日経225ETF
0,-10.0
1,40.0
2,160.0
3,-440.0
4,80.0
5,10.0
6,-40.0
7,100.0
8,140.0
9,50.0
10,-260.0
11,200.0
12,-250.0
13,80.0
14,-160.0
15,-80.0
16,-180.0
17,-320.0
18,-450.0
19,-20.0
20,-190.0
21,120.0
22,-60.0
23,-140.0
24,90.0
25,60.0
26,260.0
27,-90.0
28,450.0
29,-460.0
30,-70.0
31,-130.0
32,20.0
33,80.0
34,20.0
35,30.0
36,-190.0
37,30.0
38,80.0
39,-120.0
40,-10.0
41,510.0
42,-70.0
43,230.0
44,-60.0
45,-110.0
46,20.0
47,-200.0
48,110.0
49,390.0
50,-170.0
51,30.0
52,90.0
53,-140.0
54,-60.0
55,90.0
56,240.0
57,120.0
58,0.0
59,410.0
60,10.0
61,-230.0
62,-340.0
63,-70.0
64,-280.0
65,80.0
66,90.0
67,-50.0
68,-160.0
69,40.0
70,-70.0
71,80.0
72,190.0
73,-110.0
74,0.0
75,-10.0
76,-190.0
77,-60.0
78,-160.0
79,-360.0
80,-340.0
81,-50.0
82,130.0
83,-80.0
84,30.0
85,50.0
86,120.0
87,-210.0
88,50.0
89,70.0
90,320.0
91,150.0
92,20.0
93,-100.0
94,20.0
95,-30.0
96,80.0
97,40.0
98,190.0
99,-10.0
100,320.0
101,180.0
102,-350.0
103,120.0
104,430.0
105,-580.0
106,-40.0
107,40.0
108,-20.0
109,120.0
110,160.0
111,20.0
112,-230.0
113,400.0
114,100.0
115,-430.0
116,-170.0
117,-150.0
118,-80.0
119,230.0
120,240.0
121,-210.0
122,150.0
123,-90.0
124,90.0
125,-20.0
126,50.0
127,90.0
128,50.0
129,390.0
130,-240.0
131,-30.0
132,310.0
133,530.0
134,-500.0
135,-50.0
136,-70.0
137,-80.0
138,90.0
139,-10.0
140,230.0
141,-80.0
142,10.0
143,-150.0
144,200.0
145,-10.0
146,-10.0
147,-120.0
148,50.0
149,290.0
150,-50.0
151,-90.0
152,180.0
153,190.0
154,-250.0
155,190.0
156,200.0
157,530.0
158,-480.0
159,-80.0
160,770.0
161,230.0
162,-1070.0
163,-230.0
164,-620.0
165,-150.0
166,-380.0
167,130.0
168,-430.0
169,180.0
170,480.0
171,-60.0
172,-480.0
173,190.0
174,-430.0
175,-130.0
176,-550.0
177,220.0
178,120.0
179,50.0
180,220.0
181,170.0
182,150.0
183,160.0
184,-70.0
185,-240.0
186,140.0
187,-110.0
188,-60.0
189,30.0
190,-470.0
191,20.0
192,-220.0
193,390.0
194,-50.0
195,230.0
196,-330.0
197,580.0
198,-240.0
199,470.0
200,320.0
201,-50.0
202,-80.0
203,-870.0
204,100.0
205,-620.0
206,100.0
207,-130.0
208,-190.0
209,300.0
210,270.0
211,-440.0
212,100.0
213,-940.0
214,50.0
215,-330.0
216,-160.0
217,-140.0
218,-200.0
219,20.0
220,130.0
221,350.0
222,-220.0
223,240.0
224,60.0
225,200.0
226,-10.0
227,270.0
228,330.0
229,280.0
230,220.0
231,-60.0
232,300.0
233,60.0
234,-180.0
235,-110.0
236,-90.0
237,-20.0
238,-160.0
239,-10.0
240,0.0
241,60.0
242,30.0
243,220.0
244,190.0
245,60.0
246,100.0
247,70.0
248,-120.0
249,80.0
250,0.0
251,-140.0
252,470.0
253,-430.0
254,-300.0
255,-40.0
256,-10.0
257,-50.0
258,0.0
259,20.0
260,-260.0
261,190.0
262,30.0
263,-150.0
264,110.0
265,-20.0
266,80.0
267,150.0
268,-340.0
269,-60.0
270,-110.0
271,160.0
272,110.0
273,430.0
274,250.0
275,-340.0
276,240.0
277,190.0
278,290.0
279,-150.0
280,-80.0
281,-20.0
282,-510.0
283,50.0
284,20.0
285,-70.0
286,-10.0
287,-190.0
288,-160.0
289,130.0
290,280.0
291,-410.0
292,-160.0
293,100.0
294,-210.0
295,80.0
296,70.0
297,110.0
298,-140.0
